ASIN,name,rating,review_count,price,product_type
B07STGGQ18,"AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",4.9,24478,199.99,processor
B089J731BX,Intel Core i9-9900K Desktop Processor 8 Cores up to 5.0GHz Unlocked LGA1151 300 Series 95W (BX806849900K),4.8,397,364.95,processor
B07HHN6KBZ,Intel Core i7-9700K Desktop Processor 8 Cores up to 4.9 GHz Turbo unlocked LGA1151 300 Series 95W,4.8,6344,319.9,processor
B08BKRZB4Z,"Industrial Rugged Fanless Silent Mini PC Computer, Intel i5, Intel i7, Intel i9, Up to 8 Cores/16 Threads, Up to 1TB SSD, 32GB RAM, Wi-Fi, 4K, Windows 10 (Intel i5-8500T CPU + 240GB SSD + 8GB RAM)",4.5,2,799.99,processor
B07MGBZWDZ,Intel BX80684I99900KF Intel Core i9-9900KF Desktop Processor 8 Cores up to 5.0 GHz Turbo Unlocked Without Processor Graphics LGA1151 300 Series 95W,4.6,1165,379.99,processor
B08K4H1DT3,"GIM MB8 ATX Case, Mid-Tower PC Gaming Chassis, Compact Computer Case with Tempered Glass Panel, 4 RGB Fans Pre-Installed, Water-Cooling Ready, Cable Management System - Black",4.2,17,75.99,processor
B086MHTK5C,Intel Core i9-10900F Desktop Processor 10 Cores up to 5.2 GHz Without Processor Graphics LGA 1200 (Intel 400 Series chipset) 65W,4.8,52,419.99,processor
B08BKRQHWQ,"Industrial Rugged Fanless Silent Mini PC Computer, Intel i5, Intel i7, Intel i9, Up to 8 Cores/16 Threads, Up to 1TB SSD, 32GB RAM, Wi-Fi, 4K, Windows 10 (Intel i7-8700T CPU + 500GB SSD + 16GB RAM)",4.5,2,1199.99,processor
B07S8DWXT3,Intel Core i7-9700F Desktop Processor 8 Core 3 GHz speed (Up to 4.7 GHz) Without Processor Graphics LGA1151 300 Series 65W (BX80684I79700F),4.7,499,284.99,processor
B07SXNDKNM,"AMD Ryzen 5 3400G 4-core, 8-Thread Unlocked Desktop Processor with Radeon RX Graphics",4.8,4186,259.98,processor
B086C1PK2Y,"Cooler Master MasterLiquid ML120L RGB V2, Close-Loop AIO CPU Liquid Cooler, 120 Radiator, SickleFlow 120mm, RGB Lighting, 3rd Gen Dual Chamber Pump for AMD Ryzen/Intel LGA1200/1151",4.5,5463,59.99,processor
B07B428V2L,AMD Ryzen 5 2600X Processor with Wraith Spire Cooler - YD260XBCAFBOX,4.8,6695,204.99,processor
B01MYTY55V,Intel BX80677G3930 7th Gen Celeron Desktop Processors,4.6,647,89.89,processor
B086MW76DW,"Intel Core i5-10500 Desktop Processor 6 Cores up to 4.5 GHz LGA1200 (Intel 400 Series chipset) 65W, Model Number: BX8070110500",4.8,62,218.0,processor
B08H4YTTLP,"ASUS VivoBook 15 F515 Thin and Light Laptop, 15.6” FHD Display, Intel Core i3-1005G1 Processor, 4GB DDR4 RAM, 128GB PCIe SSD, Fingerprint Reader, Windows 10 Home in S Mode, Slate Grey, F515JA-AH31",4.5,3101,349.99,processor
B081V6W99V,"ASUS Laptop L210 Ultra Thin Laptop, 11.6” HD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, NumberPad, Windows 10 Home in S Mode with One Year of Microsoft 365 Personal, L210MA-DB01",4.3,5155,248.99,processor
B0759FTRZL,Intel Core i3-8100 Desktop Processor 4 Cores up to 3.6 GHz Turbo Unlocked LGA1151 300 Series 95W,4.6,2064,170.68,processor
